texto,sentimento
Adorei o produto e a entrega foi muito rápida,positivo
O atendimento foi excelente e resolveu meu problema,positivo
Estou muito satisfeito com a qualidade da compra,positivo
O aplicativo é fácil de usar e funciona perfeitamente,positivo
Minha experiência foi ótima do início ao fim,positivo
Recebi antes do prazo e tudo chegou bem embalado,positivo
Parabéns pelo suporte rápido e atencioso,positivo
O produto superou todas as minhas expectativas,positivo
Voltarei a comprar porque gostei bastante,positivo
O site é simples e encontrei tudo rapidamente,positivo
Fiquei feliz com o cuidado na entrega,positivo
A troca foi realizada sem nenhuma dificuldade,positivo
Recomendo a empresa pelo ótimo atendimento,positivo
Preço justo e produto de excelente qualidade,positivo
Meu pedido chegou correto e em perfeito estado,positivo
O suporte foi educado e muito eficiente,positivo
Gostei da promoção e do processo de compra,positivo
Tudo certo com o pedido estou satisfeito,positivo
Foi uma experiência agradável e prática,positivo
Resolveram a situação muito rápido obrigado,positivo
O pedido chegou hoje pela manhã,neutro
Gostaria de saber o prazo de entrega,neutro
O produto está disponível em outras cores,neutro
Preciso atualizar meu endereço de cadastro,neutro
Quero informações sobre as formas de pagamento,neutro
Comprei dois itens pelo aplicativo,neutro
Minha solicitação está em análise,neutro
O atendimento informou que responderá amanhã,neutro
Onde encontro o código de rastreamento,neutro
O site mostra que o pedido foi enviado,neutro
Gostaria de alterar o tamanho do produto,neutro
Qual é o horário de funcionamento do suporte,neutro
Preciso da segunda via da nota fiscal,neutro
O pagamento foi processado ontem,neutro
Tenho uma dúvida sobre a política de troca,neutro
O aplicativo solicitou uma nova senha,neutro
Meu cadastro foi concluído com sucesso,neutro
Quero confirmar os dados do meu pedido,neutro
A entrega está prevista para sexta feira,neutro
Estou entrando em contato para pedir informações,neutro
O produto chegou quebrado e não funciona,negativo
Estou decepcionado com a demora na entrega,negativo
O atendimento foi péssimo e não resolveu nada,negativo
Quero cancelar a compra e receber meu dinheiro,negativo
Meu pedido veio errado pela segunda vez,negativo
O aplicativo trava sempre que tento pagar,negativo
Não recomendo pois a qualidade é muito ruim,negativo
Estou esperando o reembolso há várias semanas,negativo
O suporte não responde minhas mensagens,negativo
Recebi um produto diferente do anunciado,negativo
A entrega atrasou e ninguém deu uma explicação,negativo
Foi uma experiência frustrante e demorada,negativo
O site cobrou duas vezes o mesmo pedido,negativo
Quero devolver este produto com defeito,negativo
O pacote chegou aberto e com peças faltando,negativo
Não consigo acessar minha conta e preciso de ajuda,negativo
O prazo não foi cumprido e estou insatisfeito,negativo
Péssimo serviço vou registrar uma reclamação,negativo
Preciso do estorno urgente dessa cobrança,negativo
O produto parou de funcionar no primeiro dia,negativo
Ninguém resolveu meu problema e o suporte foi péssimo,negativo
O atendimento não resolveu minha solicitação,negativo
Continuo sem solução depois de vários contatos,negativo
Foi horrível e ninguém conseguiu me ajudar,negativo
Não gostei do produto e quero fazer a devolução,negativo
O suporte encerrou o chamado sem resolver o problema,negativo
Estou insatisfeito porque não recebi nenhuma resposta,negativo
O serviço deixou muito a desejar,negativo
Minha experiência foi péssima e não recomendo,negativo
Não cumpriram o combinado e ignoraram minha reclamação,negativo
